LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
JPN,HRWKD,TOT,HR_WKD,A,2016,1714,
JPN,HRWKD,TOT,HR_WKD,A,2017,1710,
KOR,HRWKD,TOT,HR_WKD,A,2013,2093,
KOR,HRWKD,TOT,HR_WKD,A,2014,2067,
KOR,HRWKD,TOT,HR_WKD,A,2015,2084,
KOR,HRWKD,TOT,HR_WKD,A,2016,2071,
KOR,HRWKD,TOT,HR_WKD,A,2017,2024,
LUX,HRWKD,TOT,HR_WKD,A,2013,1503,
LUX,HRWKD,TOT,HR_WKD,A,2014,1508,
LUX,HRWKD,TOT,HR_WKD,A,2015,1521,
LUX,HRWKD,TOT,HR_WKD,A,2016,1519,
LUX,HRWKD,TOT,HR_WKD,A,2017,1518,
MEX,HRWKD,TOT,HR_WKD,A,2013,2244.2,
MEX,HRWKD,TOT,HR_WKD,A,2014,2242.2,
MEX,HRWKD,TOT,HR_WKD,A,2015,2248.3,
MEX,HRWKD,TOT,HR_WKD,A,2016,2254.6,
MEX,HRWKD,TOT,HR_WKD,A,2017,2257.4,
NLD,HRWKD,TOT,HR_WKD,A,2013,1418,
NLD,HRWKD,TOT,HR_WKD,A,2014,1429,
NLD,HRWKD,TOT,HR_WKD,A,2015,1424,
NLD,HRWKD,TOT,HR_WKD,A,2016,1437,
NLD,HRWKD,TOT,HR_WKD,A,2017,1433,
NZL,HRWKD,TOT,HR_WKD,A,2013,1752,
NZL,HRWKD,TOT,HR_WKD,A,2014,1762,
NZL,HRWKD,TOT,HR_WKD,A,2015,1757,
NZL,HRWKD,TOT,HR_WKD,A,2016,1752,
NZL,HRWKD,TOT,HR_WKD,A,2017,1753,
NOR,HRWKD,TOT,HR_WKD,A,2013,1408.1,
NOR,HRWKD,TOT,HR_WKD,A,2014,1426.9,
NOR,HRWKD,TOT,HR_WKD,A,2015,1423.9,
NOR,HRWKD,TOT,HR_WKD,A,2016,1424.4,
NOR,HRWKD,TOT,HR_WKD,A,2017,1419.1,
POL,HRWKD,TOT,HR_WKD,A,2013,1918,
POL,HRWKD,TOT,HR_WKD,A,2014,1923,
POL,HRWKD,TOT,HR_WKD,A,2015,1963,
POL,HRWKD,TOT,HR_WKD,A,2016,1928,
POL,HRWKD,TOT,HR_WKD,A,2017,1895,
PRT,HRWKD,TOT,HR_WKD,A,2013,1859,
PRT,HRWKD,TOT,HR_WKD,A,2014,1867,
PRT,HRWKD,TOT,HR_WKD,A,2015,1875,
PRT,HRWKD,TOT,HR_WKD,A,2016,1865,
PRT,HRWKD,TOT,HR_WKD,A,2017,1863,
SVK,HRWKD,TOT,HR_WKD,A,2013,1772,
SVK,HRWKD,TOT,HR_WKD,A,2014,1760,
SVK,HRWKD,TOT,HR_WKD,A,2015,1754,
SVK,HRWKD,TOT,HR_WKD,A,2016,1740,
SVK,HRWKD,TOT,HR_WKD,A,2017,1714,
ESP,HRWKD,TOT,HR_WKD,A,2013,1693.5,
ESP,HRWKD,TOT,HR_WKD,A,2014,1694.6,
ESP,HRWKD,TOT,HR_WKD,A,2015,1699.5,
ESP,HRWKD,TOT,HR_WKD,A,2016,1701.4,
ESP,HRWKD,TOT,HR_WKD,A,2017,1686.5,
SWE,HRWKD,TOT,HR_WKD,A,2013,1609,
SWE,HRWKD,TOT,HR_WKD,A,2014,1609,
SWE,HRWKD,TOT,HR_WKD,A,2015,1610,
SWE,HRWKD,TOT,HR_WKD,A,2016,1626,
SWE,HRWKD,TOT,HR_WKD,A,2017,1609,
CHE,HRWKD,TOT,HR_WKD,A,2013,1583,
CHE,HRWKD,TOT,HR_WKD,A,2014,1575,
CHE,HRWKD,TOT,HR_WKD,A,2015,1589,
CHE,HRWKD,TOT,HR_WKD,A,2016,1590,
CHE,HRWKD,TOT,HR_WKD,A,2017,1570,
TUR,HRWKD,TOT,HR_WKD,A,2013,1832,
GBR,HRWKD,TOT,HR_WKD,A,2013,1667,
GBR,HRWKD,TOT,HR_WKD,A,2014,1678,
GBR,HRWKD,TOT,HR_WKD,A,2015,1673,
GBR,HRWKD,TOT,HR_WKD,A,2016,1670,
GBR,HRWKD,TOT,HR_WKD,A,2017,1681,
USA,HRWKD,TOT,HR_WKD,A,2013,1782,
USA,HRWKD,TOT,HR_WKD,A,2014,1784,
USA,HRWKD,TOT,HR_WKD,A,2015,1785,
USA,HRWKD,TOT,HR_WKD,A,2016,1781,
USA,HRWKD,TOT,HR_WKD,A,2017,1780,
CHL,HRWKD,TOT,HR_WKD,A,2013,2015,
CHL,HRWKD,TOT,HR_WKD,A,2014,1990,
CHL,HRWKD,TOT,HR_WKD,A,2015,1988,
CHL,HRWKD,TOT,HR_WKD,A,2016,1974,
CHL,HRWKD,TOT,HR_WKD,A,2017,1954,
EST,HRWKD,TOT,HR_WKD,A,2013,1866,
EST,HRWKD,TOT,HR_WKD,A,2014,1859,
EST,HRWKD,TOT,HR_WKD,A,2015,1852,
EST,HRWKD,TOT,HR_WKD,A,2016,1855,
EST,HRWKD,TOT,HR_WKD,A,2017,1857,
ISR,HRWKD,TOT,HR_WKD,A,2013,1867,
ISR,HRWKD,TOT,HR_WKD,A,2014,1853,
ISR,HRWKD,TOT,HR_WKD,A,2015,1858,
ISR,HRWKD,TOT,HR_WKD,A,2016,1889,
ISR,HRWKD,TOT,HR_WKD,A,2017,1885,
RUS,HRWKD,TOT,HR_WKD,A,2013,1980,
RUS,HRWKD,TOT,HR_WKD,A,2014,1985,
RUS,HRWKD,TOT,HR_WKD,A,2015,1978,
RUS,HRWKD,TOT,HR_WKD,A,2016,1974,
RUS,HRWKD,TOT,HR_WKD,A,2017,1980,
SVN,HRWKD,TOT,HR_WKD,A,2013,1662.4,
SVN,HRWKD,TOT,HR_WKD,A,2014,1681.9,
SVN,HRWKD,TOT,HR_WKD,A,2015,1687.9,
SVN,HRWKD,TOT,HR_WKD,A,2016,1666.9,
SVN,HRWKD,TOT,HR_WKD,A,2017,1655.1,
OECD,HRWKD,TOT,HR_WKD,A,2013,1766,
OECD,HRWKD,TOT,HR_WKD,A,2014,1765,
OECD,HRWKD,TOT,HR_WKD,A,2015,1767,
OECD,HRWKD,TOT,HR_WKD,A,2016,1765,
OECD,HRWKD,TOT,HR_WKD,A,2017,1759,
LVA,HRWKD,TOT,HR_WKD,A,2013,1928,
LVA,HRWKD,TOT,HR_WKD,A,2014,1938,
LVA,HRWKD,TOT,HR_WKD,A,2015,1902,
LVA,HRWKD,TOT,HR_WKD,A,2016,1902,
LVA,HRWKD,TOT,HR_WKD,A,2017,1875,
LTU,HRWKD,TOT,HR_WKD,A,2013,1841,
LTU,HRWKD,TOT,HR_WKD,A,2014,1833,
LTU,HRWKD,TOT,HR_WKD,A,2015,1860,
LTU,HRWKD,TOT,HR_WKD,A,2016,1885,
LTU,HRWKD,TOT,HR_WKD,A,2017,1844,
CRI,HRWKD,TOT,HR_WKD,A,2013,2140.56,
CRI,HRWKD,TOT,HR_WKD,A,2014,2121.69,
CRI,HRWKD,TOT,HR_WKD,A,2015,2148.18,
CRI,HRWKD,TOT,HR_WKD,A,2016,2204.65,
CRI,HRWKD,TOT,HR_WKD,A,2017,2178.92,
