LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
HUN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,513.041,
HUN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,537.666,
HUN,HEALTHEXP,OOPEXP,USD_CAP,A,2016,584.018,
ISL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,662.832,
ISL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,680.56,
ISL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,699.144,
ISL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,709.785,
ISL,HEALTHEXP,OOPEXP,USD_CAP,A,2017,745.756,P
IRL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,700.052,
IRL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,700.127,
IRL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,693.407,
IRL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,684.251,
ITA,HEALTHEXP,OOPEXP,USD_CAP,A,2013,703.934,
ITA,HEALTHEXP,OOPEXP,USD_CAP,A,2014,719.558,
ITA,HEALTHEXP,OOPEXP,USD_CAP,A,2015,761.748,
ITA,HEALTHEXP,OOPEXP,USD_CAP,A,2016,792.4,
ITA,HEALTHEXP,OOPEXP,USD_CAP,A,2017,834.091,P
JPN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,534.337,
JPN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,546.344,
JPN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,573.368,
KOR,HEALTHEXP,OOPEXP,USD_CAP,A,2013,742.967,
KOR,HEALTHEXP,OOPEXP,USD_CAP,A,2014,785.401,
KOR,HEALTHEXP,OOPEXP,USD_CAP,A,2015,843.739,
KOR,HEALTHEXP,OOPEXP,USD_CAP,A,2016,895.29,
KOR,HEALTHEXP,OOPEXP,USD_CAP,A,2017,993.372,P
LUX,HEALTHEXP,OOPEXP,USD_CAP,A,2013,696.563,
LUX,HEALTHEXP,OOPEXP,USD_CAP,A,2014,768.707,
LUX,HEALTHEXP,OOPEXP,USD_CAP,A,2015,767.143,
LUX,HEALTHEXP,OOPEXP,USD_CAP,A,2016,783.404,
LUX,HEALTHEXP,OOPEXP,USD_CAP,A,2017,790.503,P
MEX,HEALTHEXP,OOPEXP,USD_CAP,A,2013,428.884,
MEX,HEALTHEXP,OOPEXP,USD_CAP,A,2014,423.736,
MEX,HEALTHEXP,OOPEXP,USD_CAP,A,2015,429.183,
MEX,HEALTHEXP,OOPEXP,USD_CAP,A,2016,411.979,B
NLD,HEALTHEXP,OOPEXP,USD_CAP,A,2013,619.413,
NLD,HEALTHEXP,OOPEXP,USD_CAP,A,2014,644.154,
NLD,HEALTHEXP,OOPEXP,USD_CAP,A,2015,598.06,
NLD,HEALTHEXP,OOPEXP,USD_CAP,A,2016,599.532,
NLD,HEALTHEXP,OOPEXP,USD_CAP,A,2017,604.512,P
NZL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,419.677,P
NZL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,451.241,P
NZL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,470.964,P
NZL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,494.076,P
NZL,HEALTHEXP,OOPEXP,USD_CAP,A,2017,500.008,P
NOR,HEALTHEXP,OOPEXP,USD_CAP,A,2013,872.635,
NOR,HEALTHEXP,OOPEXP,USD_CAP,A,2014,885.377,
NOR,HEALTHEXP,OOPEXP,USD_CAP,A,2015,882.429,
NOR,HEALTHEXP,OOPEXP,USD_CAP,A,2016,896.625,P
NOR,HEALTHEXP,OOPEXP,USD_CAP,A,2017,929.99,P
POL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,372.645,
POL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,369.948,
POL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,392.167,
POL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,409.388,
POL,HEALTHEXP,OOPEXP,USD_CAP,A,2017,441.588,P
PRT,HEALTHEXP,OOPEXP,USD_CAP,A,2013,683.838,
PRT,HEALTHEXP,OOPEXP,USD_CAP,A,2014,718.428,
PRT,HEALTHEXP,OOPEXP,USD_CAP,A,2015,734.676,
PRT,HEALTHEXP,OOPEXP,USD_CAP,A,2016,772.242,
PRT,HEALTHEXP,OOPEXP,USD_CAP,A,2017,786.723,P
SVK,HEALTHEXP,OOPEXP,USD_CAP,A,2013,489.773,
SVK,HEALTHEXP,OOPEXP,USD_CAP,A,2014,359.87,
SVK,HEALTHEXP,OOPEXP,USD_CAP,A,2015,373.932,
SVK,HEALTHEXP,OOPEXP,USD_CAP,A,2016,386.957,
ESP,HEALTHEXP,OOPEXP,USD_CAP,A,2013,705.319,
ESP,HEALTHEXP,OOPEXP,USD_CAP,A,2014,741.1,
ESP,HEALTHEXP,OOPEXP,USD_CAP,A,2015,755.202,
ESP,HEALTHEXP,OOPEXP,USD_CAP,A,2016,775.958,
SWE,HEALTHEXP,OOPEXP,USD_CAP,A,2013,787.657,
SWE,HEALTHEXP,OOPEXP,USD_CAP,A,2014,803.99,
SWE,HEALTHEXP,OOPEXP,USD_CAP,A,2015,816.425,
SWE,HEALTHEXP,OOPEXP,USD_CAP,A,2016,815.183,
SWE,HEALTHEXP,OOPEXP,USD_CAP,A,2017,833.86,P
CHE,HEALTHEXP,OOPEXP,USD_CAP,A,2013,1927.791,
CHE,HEALTHEXP,OOPEXP,USD_CAP,A,2014,2080.355,
CHE,HEALTHEXP,OOPEXP,USD_CAP,A,2015,2201.144,
CHE,HEALTHEXP,OOPEXP,USD_CAP,A,2016,2312.928,
TUR,HEALTHEXP,OOPEXP,USD_CAP,A,2013,165.531,
TUR,HEALTHEXP,OOPEXP,USD_CAP,A,2014,184.8,
TUR,HEALTHEXP,OOPEXP,USD_CAP,A,2015,174.383,
TUR,HEALTHEXP,OOPEXP,USD_CAP,A,2016,179.887,
GBR,HEALTHEXP,OOPEXP,USD_CAP,A,2013,567.728,B
GBR,HEALTHEXP,OOPEXP,USD_CAP,A,2014,583.247,
GBR,HEALTHEXP,OOPEXP,USD_CAP,A,2015,608.088,
GBR,HEALTHEXP,OOPEXP,USD_CAP,A,2016,629.55,
USA,HEALTHEXP,OOPEXP,USD_CAP,A,2013,1028.317,
USA,HEALTHEXP,OOPEXP,USD_CAP,A,2014,1035.921,
USA,HEALTHEXP,OOPEXP,USD_CAP,A,2015,1056.924,
USA,HEALTHEXP,OOPEXP,USD_CAP,A,2016,1090.077,
USA,HEALTHEXP,OOPEXP,USD_CAP,A,2017,1121.518,E
CHL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,540.915,
CHL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,566.318,
CHL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,581.35,
CHL,HEALTHEXP,OOPEXP,USD_CAP,A,2016,606.962,
CHL,HEALTHEXP,OOPEXP,USD_CAP,A,2017,623.448,P
EST,HEALTHEXP,OOPEXP,USD_CAP,A,2013,373.593,
EST,HEALTHEXP,OOPEXP,USD_CAP,A,2014,400.773,
EST,HEALTHEXP,OOPEXP,USD_CAP,A,2015,423.46,
EST,HEALTHEXP,OOPEXP,USD_CAP,A,2016,450.985,
EST,HEALTHEXP,OOPEXP,USD_CAP,A,2017,474.795,P
ISR,HEALTHEXP,OOPEXP,USD_CAP,A,2013,545.94,
ISR,HEALTHEXP,OOPEXP,USD_CAP,A,2014,559.385,
ISR,HEALTHEXP,OOPEXP,USD_CAP,A,2015,600.109,
ISR,HEALTHEXP,OOPEXP,USD_CAP,A,2016,626.043,
SVN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,326.29,
SVN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,340.759,
SVN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,334.387,
SVN,HEALTHEXP,OOPEXP,USD_CAP,A,2016,332.592,
AUT,HEALTHEXP,OOPEXP,USD_CAP,A,2013,944.978,D
AUT,HEALTHEXP,OOPEXP,USD_CAP,A,2014,966.291,D
AUT,HEALTHEXP,OOPEXP,USD_CAP,A,2015,980.691,D
AUT,HEALTHEXP,OOPEXP,USD_CAP,A,2016,997.684,D
AUT,HEALTHEXP,OOPEXP,USD_CAP,A,2017,1396.451,
BRA,HEALTHEXP,OOPEXP,USD_CAP,A,2013,361.355,E
BRA,HEALTHEXP,OOPEXP,USD_CAP,A,2014,385.848,E
BRA,HEALTHEXP,OOPEXP,USD_CAP,A,2015,396.58,E
CHN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,218.837,E
CHN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,231.356,E
CHN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,246.82,E
COL,HEALTHEXP,OOPEXP,USD_CAP,A,2013,120.62,E
COL,HEALTHEXP,OOPEXP,USD_CAP,A,2014,148.341,E
COL,HEALTHEXP,OOPEXP,USD_CAP,A,2015,156.683,E
IND,HEALTHEXP,OOPEXP,USD_CAP,A,2013,135.981,E
IND,HEALTHEXP,OOPEXP,USD_CAP,A,2014,137.972,E
IND,HEALTHEXP,OOPEXP,USD_CAP,A,2015,154.909,E
IDN,HEALTHEXP,OOPEXP,USD_CAP,A,2013,166.838,E
IDN,HEALTHEXP,OOPEXP,USD_CAP,A,2014,172.66,E
IDN,HEALTHEXP,OOPEXP,USD_CAP,A,2015,192.217,E
LVA,HEALTHEXP,OOPEXP,USD_CAP,A,2013,471.078,
LVA,HEALTHEXP,OOPEXP,USD_CAP,A,2014,508.825,
LVA,HEALTHEXP,OOPEXP,USD_CAP,A,2015,588.854,
LVA,HEALTHEXP,OOPEXP,USD_CAP,A,2016,718.674,
LTU,HEALTHEXP,OOPEXP,USD_CAP,A,2013,537.252,
LTU,HEALTHEXP,OOPEXP,USD_CAP,A,2014,549.709,
LTU,HEALTHEXP,OOPEXP,USD_CAP,A,2015,593.515,
LTU,HEALTHEXP,OOPEXP,USD_CAP,A,2016,644.299,
LTU,HEALTHEXP,OOPEXP,USD_CAP,A,2017,648.469,P
RUS,HEALTHEXP,OOPEXP,USD_CAP,A,2013,463.471,
RUS,HEALTHEXP,OOPEXP,USD_CAP,A,2014,485.457,
RUS,HEALTHEXP,OOPEXP,USD_CAP,A,2015,504.493,
RUS,HEALTHEXP,OOPEXP,USD_CAP,A,2016,528.216,
ZAF,HEALTHEXP,OOPEXP,USD_CAP,A,2013,80.519,E
ZAF,HEALTHEXP,OOPEXP,USD_CAP,A,2014,82.605,E
ZAF,HEALTHEXP,OOPEXP,USD_CAP,A,2015,83.927,E
CRI,HEALTHEXP,OOPEXP,USD_CAP,A,2013,262.701,
CRI,HEALTHEXP,OOPEXP,USD_CAP,A,2014,287.739,
CRI,HEALTHEXP,OOPEXP,USD_CAP,A,2015,276.513,
CRI,HEALTHEXP,OOPEXP,USD_CAP,A,2016,272.239,
