LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,EDUADULT,TRY,PC_25_64,A,2016,43.595264,
FIN,EDUADULT,TRY,PC_25_64,A,2017,44.304253,
FRA,EDUADULT,TRY,PC_25_64,A,2013,32.105263,
FRA,EDUADULT,TRY,PC_25_64,A,2014,33.539047,
FRA,EDUADULT,TRY,PC_25_64,A,2015,34.085361,
FRA,EDUADULT,TRY,PC_25_64,A,2016,34.582485,
FRA,EDUADULT,TRY,PC_25_64,A,2017,35.213791,
DEU,EDUADULT,TRY,PC_25_64,A,2013,28.47327,
DEU,EDUADULT,TRY,PC_25_64,A,2014,27.057884,
DEU,EDUADULT,TRY,PC_25_64,A,2015,27.638235,
DEU,EDUADULT,TRY,PC_25_64,A,2016,28.291723,
DEU,EDUADULT,TRY,PC_25_64,A,2017,28.58337,
GRC,EDUADULT,TRY,PC_25_64,A,2013,27.423178,
GRC,EDUADULT,TRY,PC_25_64,A,2014,28.105659,
GRC,EDUADULT,TRY,PC_25_64,A,2015,29.057495,
GRC,EDUADULT,TRY,PC_25_64,A,2016,30.231607,
GRC,EDUADULT,TRY,PC_25_64,A,2017,31.027514,
HUN,EDUADULT,TRY,PC_25_64,A,2013,22.505821,
HUN,EDUADULT,TRY,PC_25_64,A,2014,23.356073,
HUN,EDUADULT,TRY,PC_25_64,A,2015,24.242552,
HUN,EDUADULT,TRY,PC_25_64,A,2016,23.713329,
HUN,EDUADULT,TRY,PC_25_64,A,2017,24.054041,
ISL,EDUADULT,TRY,PC_25_64,A,2013,36.08242,
ISL,EDUADULT,TRY,PC_25_64,A,2014,37.088051,
ISL,EDUADULT,TRY,PC_25_64,A,2015,38.841152,
ISL,EDUADULT,TRY,PC_25_64,A,2016,40.475002,
ISL,EDUADULT,TRY,PC_25_64,A,2017,42.38409,
IRL,EDUADULT,TRY,PC_25_64,A,2013,41.47068,
IRL,EDUADULT,TRY,PC_25_64,A,2014,40.967049,
IRL,EDUADULT,TRY,PC_25_64,A,2015,42.806118,
IRL,EDUADULT,TRY,PC_25_64,A,2017,45.65897,
ITA,EDUADULT,TRY,PC_25_64,A,2013,16.289694,
ITA,EDUADULT,TRY,PC_25_64,A,2014,16.910578,
ITA,EDUADULT,TRY,PC_25_64,A,2015,17.546457,
ITA,EDUADULT,TRY,PC_25_64,A,2016,17.723593,
ITA,EDUADULT,TRY,PC_25_64,A,2017,18.669672,
JPN,EDUADULT,TRY,PC_25_64,A,2013,47.311993,
JPN,EDUADULT,TRY,PC_25_64,A,2014,48.185074,
JPN,EDUADULT,TRY,PC_25_64,A,2015,49.541573,
JPN,EDUADULT,TRY,PC_25_64,A,2016,50.496956,
JPN,EDUADULT,TRY,PC_25_64,A,2017,51.440529,
KOR,EDUADULT,TRY,PC_25_64,A,2013,43.075195,
KOR,EDUADULT,TRY,PC_25_64,A,2014,44.49865,
KOR,EDUADULT,TRY,PC_25_64,A,2015,45.356678,
KOR,EDUADULT,TRY,PC_25_64,A,2016,46.643951,
KOR,EDUADULT,TRY,PC_25_64,A,2017,47.744724,
LUX,EDUADULT,TRY,PC_25_64,A,2013,40.673241,
LUX,EDUADULT,TRY,PC_25_64,A,2014,45.935593,
LUX,EDUADULT,TRY,PC_25_64,A,2015,39.794865,
LUX,EDUADULT,TRY,PC_25_64,A,2016,42.856003,
LUX,EDUADULT,TRY,PC_25_64,A,2017,40.325737,
MEX,EDUADULT,TRY,PC_25_64,A,2013,16.20183,
MEX,EDUADULT,TRY,PC_25_64,A,2014,15.996383,
MEX,EDUADULT,TRY,PC_25_64,A,2015,16.278801,
MEX,EDUADULT,TRY,PC_25_64,A,2016,16.818605,
MEX,EDUADULT,TRY,PC_25_64,A,2017,17.418995,
NLD,EDUADULT,TRY,PC_25_64,A,2013,33.869305,
NLD,EDUADULT,TRY,PC_25_64,A,2014,34.419815,
NLD,EDUADULT,TRY,PC_25_64,A,2015,35.330765,
NLD,EDUADULT,TRY,PC_25_64,A,2016,35.999168,
NLD,EDUADULT,TRY,PC_25_64,A,2017,37.16811,
NZL,EDUADULT,TRY,PC_25_64,A,2014,35.628941,
NZL,EDUADULT,TRY,PC_25_64,A,2015,34.040531,
NZL,EDUADULT,TRY,PC_25_64,A,2016,36.275139,
NZL,EDUADULT,TRY,PC_25_64,A,2017,37.730431,
NOR,EDUADULT,TRY,PC_25_64,A,2013,39.770252,
NOR,EDUADULT,TRY,PC_25_64,A,2014,41.757915,
NOR,EDUADULT,TRY,PC_25_64,A,2015,42.706734,
NOR,EDUADULT,TRY,PC_25_64,A,2016,43.016758,
NOR,EDUADULT,TRY,PC_25_64,A,2017,43.207031,
POL,EDUADULT,TRY,PC_25_64,A,2013,25.755669,
POL,EDUADULT,TRY,PC_25_64,A,2014,26.995474,
POL,EDUADULT,TRY,PC_25_64,A,2015,27.747267,
POL,EDUADULT,TRY,PC_25_64,A,2016,28.711193,
POL,EDUADULT,TRY,PC_25_64,A,2017,29.919453,
PRT,EDUADULT,TRY,PC_25_64,A,2013,19.307142,
PRT,EDUADULT,TRY,PC_25_64,A,2014,21.7169,
PRT,EDUADULT,TRY,PC_25_64,A,2015,22.857506,
PRT,EDUADULT,TRY,PC_25_64,A,2016,23.847389,
PRT,EDUADULT,TRY,PC_25_64,A,2017,24.039421,
SVK,EDUADULT,TRY,PC_25_64,A,2013,19.87734,
SVK,EDUADULT,TRY,PC_25_64,A,2014,20.379578,
SVK,EDUADULT,TRY,PC_25_64,A,2015,21.149881,
SVK,EDUADULT,TRY,PC_25_64,A,2016,21.979519,
SVK,EDUADULT,TRY,PC_25_64,A,2017,23.095415,
ESP,EDUADULT,TRY,PC_25_64,A,2013,33.734821,
ESP,EDUADULT,TRY,PC_25_64,A,2014,34.678776,
ESP,EDUADULT,TRY,PC_25_64,A,2015,35.081161,
ESP,EDUADULT,TRY,PC_25_64,A,2016,35.693489,
ESP,EDUADULT,TRY,PC_25_64,A,2017,36.351273,
SWE,EDUADULT,TRY,PC_25_64,A,2013,37.034386,
SWE,EDUADULT,TRY,PC_25_64,A,2014,38.700306,
SWE,EDUADULT,TRY,PC_25_64,A,2015,39.786552,
SWE,EDUADULT,TRY,PC_25_64,A,2016,41.139179,
SWE,EDUADULT,TRY,PC_25_64,A,2017,41.936691,
CHE,EDUADULT,TRY,PC_25_64,A,2013,37.407192,
CHE,EDUADULT,TRY,PC_25_64,A,2014,38.428497,
CHE,EDUADULT,TRY,PC_25_64,A,2015,39.782719,
CHE,EDUADULT,TRY,PC_25_64,A,2016,41.235474,
CHE,EDUADULT,TRY,PC_25_64,A,2017,42.594601,
TUR,EDUADULT,TRY,PC_25_64,A,2013,15.907355,
TUR,EDUADULT,TRY,PC_25_64,A,2014,16.693634,
TUR,EDUADULT,TRY,PC_25_64,A,2015,18.020138,
TUR,EDUADULT,TRY,PC_25_64,A,2016,19.362528,
TUR,EDUADULT,TRY,PC_25_64,A,2017,20.013071,
GBR,EDUADULT,TRY,PC_25_64,A,2013,41.891979,
GBR,EDUADULT,TRY,PC_25_64,A,2014,42.217449,
GBR,EDUADULT,TRY,PC_25_64,A,2015,44.197987,
GBR,EDUADULT,TRY,PC_25_64,A,2016,45.766762,
GBR,EDUADULT,TRY,PC_25_64,A,2017,45.744305,
USA,EDUADULT,TRY,PC_25_64,A,2013,43.910252,
USA,EDUADULT,TRY,PC_25_64,A,2014,44.224617,
USA,EDUADULT,TRY,PC_25_64,A,2015,44.629398,
USA,EDUADULT,TRY,PC_25_64,A,2016,45.666355,
USA,EDUADULT,TRY,PC_25_64,A,2017,46.3568,
BRA,EDUADULT,TRY,PC_25_64,A,2013,13.746482,
BRA,EDUADULT,TRY,PC_25_64,A,2014,14.321353,
BRA,EDUADULT,TRY,PC_25_64,A,2015,14.794608,
CHL,EDUADULT,TRY,PC_25_64,A,2013,21.089819,
CHL,EDUADULT,TRY,PC_25_64,A,2015,22.475199,
COL,EDUADULT,TRY,PC_25_64,A,2014,22.356598,
COL,EDUADULT,TRY,PC_25_64,A,2015,21.562889,
COL,EDUADULT,TRY,PC_25_64,A,2016,22.247128,
COL,EDUADULT,TRY,PC_25_64,A,2017,22.491623,
EST,EDUADULT,TRY,PC_25_64,A,2013,37.345535,
EST,EDUADULT,TRY,PC_25_64,A,2014,37.499954,
EST,EDUADULT,TRY,PC_25_64,A,2015,38.030697,
EST,EDUADULT,TRY,PC_25_64,A,2016,38.756851,
EST,EDUADULT,TRY,PC_25_64,A,2017,39.663879,
IDN,EDUADULT,TRY,PC_25_64,A,2013,9.3885174,
IDN,EDUADULT,TRY,PC_25_64,A,2014,9.6783018,
IDN,EDUADULT,TRY,PC_25_64,A,2015,10.567527,
IDN,EDUADULT,TRY,PC_25_64,A,2016,11.337651,
IDN,EDUADULT,TRY,PC_25_64,A,2017,11.857569,
ISR,EDUADULT,TRY,PC_25_64,A,2013,47.421043,
ISR,EDUADULT,TRY,PC_25_64,A,2014,48.53273,
ISR,EDUADULT,TRY,PC_25_64,A,2015,48.824478,
ISR,EDUADULT,TRY,PC_25_64,A,2016,49.895348,
ISR,EDUADULT,TRY,PC_25_64,A,2017,50.91605,
LVA,EDUADULT,TRY,PC_25_64,A,2013,31.011995,
LVA,EDUADULT,TRY,PC_25_64,A,2014,30.230137,
LVA,EDUADULT,TRY,PC_25_64,A,2015,31.591949,
LVA,EDUADULT,TRY,PC_25_64,A,2016,33.361481,
LVA,EDUADULT,TRY,PC_25_64,A,2017,33.882294,
RUS,EDUADULT,TRY,PC_25_64,A,2013,51.261497,
RUS,EDUADULT,TRY,PC_25_64,A,2014,51.567863,
RUS,EDUADULT,TRY,PC_25_64,A,2015,52.42807,
RUS,EDUADULT,TRY,PC_25_64,A,2016,53.056892,
SVN,EDUADULT,TRY,PC_25_64,A,2013,27.880541,
SVN,EDUADULT,TRY,PC_25_64,A,2014,28.600916,
SVN,EDUADULT,TRY,PC_25_64,A,2015,30.173296,
SVN,EDUADULT,TRY,PC_25_64,A,2016,30.735788,
SVN,EDUADULT,TRY,PC_25_64,A,2017,34.302807,
ZAF,EDUADULT,TRY,PC_25_64,A,2013,6.4559345,
ZAF,EDUADULT,TRY,PC_25_64,A,2014,6.4785309,
ZAF,EDUADULT,TRY,PC_25_64,A,2015,6.9889388,
ZAF,EDUADULT,TRY,PC_25_64,A,2016,6.9798017,
ZAF,EDUADULT,TRY,PC_25_64,A,2017,7.4416285,
OAVG,EDUADULT,TRY,PC_25_64,A,2013,32.978443,
OAVG,EDUADULT,TRY,PC_25_64,A,2014,34.296521,
OAVG,EDUADULT,TRY,PC_25_64,A,2015,34.662088,
OAVG,EDUADULT,TRY,PC_25_64,A,2016,35.783563,
OAVG,EDUADULT,TRY,PC_25_64,A,2017,36.911428,
SAU,EDUADULT,TRY,PC_25_64,A,2014,23.161575,
ARG,EDUADULT,TRY,PC_25_64,A,2017,21.406715,
LTU,EDUADULT,TRY,PC_25_64,A,2013,35.19833,
LTU,EDUADULT,TRY,PC_25_64,A,2014,36.668087,
LTU,EDUADULT,TRY,PC_25_64,A,2015,38.724106,
LTU,EDUADULT,TRY,PC_25_64,A,2016,39.732628,
LTU,EDUADULT,TRY,PC_25_64,A,2017,40.273941,
CRI,EDUADULT,TRY,PC_25_64,A,2013,23.270735,
CRI,EDUADULT,TRY,PC_25_64,A,2014,23.535925,
CRI,EDUADULT,TRY,PC_25_64,A,2015,23.136086,
CRI,EDUADULT,TRY,PC_25_64,A,2016,22.998714,
CRI,EDUADULT,TRY,PC_25_64,A,2017,22.989092,
